# XGBoost multi:softprob pred_contribs golden
# n_samples=2 n_groups=3 n_cols=7 n_features=6
# margin 0 0 0.9439150691
0	0	0	0.0053237798
0	0	1	-0.0938908011
0	0	2	-0.0205860864
0	0	3	0.0531865954
0	0	4	0.0845344216
0	0	5	0.8981455564
0	0	6	0.0172016770
# margin 0 1 -0.9042629004
0	1	0	-0.2602377832
0	1	1	0.0149321612
0	1	2	-0.0353625007
0	1	3	-0.3212484717
0	1	4	0.0819247887
0	1	5	-0.3774060011
0	1	6	-0.0068650548
# margin 0 2 0.1454313099
0	2	0	0.1289537102
0	2	1	-0.0637498051
0	2	2	0.2307808697
0	2	3	0.2700808048
0	2	4	0.0000000000
0	2	5	-0.4122183323
0	2	6	-0.0084159309
# margin 1 0 1.0631794930
1	0	0	0.0333511084
1	0	1	0.1197153628
1	0	2	-0.0266278610
1	0	3	-0.0260640904
1	0	4	-0.0318827666
1	0	5	0.9774861336
1	0	6	0.0172016770
# margin 1 1 -0.6866607666
1	1	0	-0.2170906067
1	1	1	-0.0140872309
1	1	2	-0.0122195743
1	1	3	0.1712338328
1	1	4	-0.1504059434
1	1	5	-0.4572262764
1	1	6	-0.0068650548
# margin 1 2 -0.6241316795
1	2	0	0.0861475766
1	2	1	0.0179600492
1	2	2	-0.0577630922
1	2	3	-0.1858178824
1	2	4	0.0000000000
1	2	5	-0.4762424231
1	2	6	-0.0084159309
