# leaves multiclass OutputContribution golden
# n_samples=2 n_groups=3 n_cols=7 n_features=6
# margin 0 0 0.9439151204
0	0	0	0.2130654662
0	0	1	-0.0578111048
0	0	2	0.0492995288
0	0	3	0.0022357246
0	0	4	-0.0321367925
0	0	5	1.4682341367
0	0	6	-0.6989718386
# margin 0 1 -0.9042628107
0	1	0	-0.4650838696
0	1	1	-0.0282213673
0	1	2	-0.0050367745
0	1	3	-0.4609496614
0	1	4	0.0470935734
0	1	5	0.0148152365
0	1	6	-0.0068799478
# margin 0 2 0.1454313027
0	2	0	-0.1065376829
0	2	1	-0.0088908027
0	2	2	0.0502405458
0	2	3	0.1626922382
0	2	4	0.0000000000
0	2	5	0.6720587059
0	2	6	-0.6241317017
# margin 1 0 1.0631794772
1	0	0	0.2144715070
1	0	1	0.0850406763
1	0	2	0.0494869381
1	0	3	-0.0007823102
1	0	4	-0.1127074918
1	0	5	1.5266419965
1	0	6	-0.6989718386
# margin 1 1 -0.6866607962
1	1	0	-0.4670206895
1	1	1	-0.0456181314
1	1	2	-0.0000734187
1	1	3	0.2267022205
1	1	4	-0.3294908391
1	1	5	-0.0642799901
1	1	6	-0.0068799478
# margin 1 2 -0.6241317017
1	2	0	-0.2210308632
1	2	1	-0.0051394762
1	2	2	-0.1198678620
1	2	3	-0.0631319696
1	2	4	0.0000000000
1	2	5	0.4091701710
1	2	6	-0.6241317017
