# leaves OutputContribution golden (self-regression)
# n_samples=3 n_cols=9 n_features=8
# margin 0 -1.0264463723
0	0	-0.8603220277
0	1	1.7725518351
0	2	0.0000000000
0	3	0.0000000000
0	4	0.0000000000
0	5	0.1836000073
0	6	0.0000000000
0	7	0.0000000000
0	8	-2.1222761869
# margin 1 -2.1222761869
1	0	0.5783024652
1	1	-0.5757570105
1	2	0.0000000000
1	3	0.0000000000
1	4	0.0000000000
1	5	-0.0025454547
1	6	0.0000000000
1	7	0.0000000000
1	8	-2.1222761869
# margin 2 -2.1222761869
2	0	-0.2346647449
2	1	0.2384829269
2	2	0.0000000000
2	3	0.0000000000
2	4	0.0000000000
2	5	-0.0038181821
2	6	0.0000000000
2	7	0.0000000000
2	8	-2.1222761869
