# sample feature value  (feature=n_features is bias term)
# n_samples=3 n_cols=9 n_features=8
# margin 0 -1.0264463425
0	0	-1.8342976570
0	1	0.6575996876
0	2	0.0000000000
0	3	0.0000000000
0	4	0.0000000000
0	5	0.2504263520
0	6	0.0000000000
0	7	0.0000000000
0	8	-0.1001746505
# margin 1 -2.1222760677
1	0	-0.6975974441
1	1	-1.3158495426
1	2	0.0000000000
1	3	0.0000000000
1	4	0.0000000000
1	5	-0.0086545460
1	6	0.0000000000
1	7	0.0000000000
1	8	-0.1001746505
# margin 2 -2.1222760677
2	0	-1.1469507217
2	1	-0.8523855209
2	2	0.0000000000
2	3	0.0000000000
2	4	0.0000000000
2	5	-0.0227652192
2	6	0.0000000000
2	7	0.0000000000
2	8	-0.1001746505
